index,reasoning,is_pcl,categories
5400,"The text presents a potentially exaggerated and generalized positive image of Filipino immigrants, suggesting they are universally 'caring, compassionate, and dedicated' which could be seen as a form of presupposition and overgeneralization. The text also subtly links this perceived positive character trait to foreign investment in the Philippines, potentially romanticizing the role of Filipino workers. While not overtly patronizing, the idealized portrayal and its connection to economic factors could be interpreted as slightly condescending by flattening the complexities of individual experiences and contributions.",True,['Presupposition']
5401,"The text describes a community that is ""in need"" of a bridge. However, the text does not contain any elements of patronizing or condescending language. It simply states the need for a bridge and quotes local leaders. There is no indication of unbalanced power relations, shallow solutions, presuppositions, authority voice, metaphors, compassion, or romanticization of poverty.",False,
5402,"The text uses the word ""hopelessly,"" which can be seen as exaggerating the vulnerability of the community and eliciting pity, aligning with the 'Compassion' category. Additionally, the statement suggests a sense of abandonment and powerlessness, which could be interpreted as reflecting 'Unbalanced power relations' due to the perceived lack of governmental support and the actions of the pastoralists.",True,"['Compassion', 'Unbalanced power relations']"
5403,"The text offers help to poor families, specifically regarding burial costs. This could be interpreted as a shallow solution to the larger problem of poverty and financial insecurity during bereavement. It also carries a hint of unbalanced power relations, as Lim positions himself as a benefactor with the ability to provide assistance, although it is framed as an offer of help rather than an assertion of power.",True,"['Shallow solution', 'Unbalanced power relations']"
5404,"The text simply states biographical information about someone born to immigrant parents and their early involvement in politics. There is no indication of patronizing or condescending language. It does not present unbalanced power relations, shallow solutions, presuppositions, an authoritative voice, metaphors, compassion in a condescending manner, or romanticize poverty.",False,
5405,"The text uses the term ""hopelessly"" to describe the community, which is condescending and suggests a lack of agency or potential for improvement. This generalization about the community's state without providing supporting evidence indicates a presupposition.",True,['Presupposition']
5406,"The text describes a parking scheme for Nationwide employees. It provides factual information about the availability and accessibility of parking spaces, including disabled bays and operating hours. There is no indication of patronizing or condescending language as the tone is neutral and informative.",False,
5407,The text implies that opinion-makers in local media are susceptible to fake news and agitation propaganda due to their partisanship. This suggests a presupposition that all or most local opinion-makers are partisans and therefore easily manipulated. This could be considered condescending as it generalizes and potentially undermines the integrity of local media professionals.,True,['Presupposition']
5408,"The text presents factual information about the Calexico school district and its student population without using patronizing or condescending language. It states the challenges the district faces (academic penalties) and provides potential contributing factors (location, language, and socioeconomic background of students) in a neutral manner.",False,
5409,"The text uses the word 'hopeless' to describe something (the community), which can be seen as a presupposition or generalization without specific justification. It implies a negative characteristic to the community.",True,['Presupposition']
5410,"The text provides a historical context of Muslim presence in Europe, highlighting their contribution to the labor force and acknowledging their experiences as victims of imperialism and colonialism. While mentioning 'cheap labor' could be interpreted as potentially exploitative, the overall tone aims to provide a nuanced understanding of the community's history and circumstances without patronizing or condescending language.",False,
5411,"The text does not exhibit patronizing or condescending language. It's a straightforward statement expressing support for actions aimed at protecting a specific community from discrimination. There's no evidence of unbalanced power dynamics, shallow solutions, presuppositions, authority voice, metaphors, compassion elicitation, or romanticization of poverty.",False,
5412,"The text presents a ""shallow solution"" by suggesting that a grant can solve the problem of rising prices due to TRAIN (Tax Reform for Acceleration and Inclusion Act). This implies that providing families with a small amount of money is sufficient to address the broader economic issues and ignores the systemic issues that are causing poverty. Also, there's an unbalanced power relation where the text emphasizes on giving the grant as if it's the solution and also sounds like an authoritative voice.",True,"['Shallow solution', 'Unbalanced power relations', 'Authority voice']"
5413,The provided text is a factual statement about a film and an actress portraying a refugee. There is no language that suggests any of the PCL categories. The text is simply reporting information.,False,
5414,"The text presents factual information about the Rohingya community's situation in Myanmar without using patronizing language. It states the denial of citizenship and the perception of them as illegal immigrants, contrasting it with their claim of long-standing roots. The tone is neutral and informative, avoiding any form of condescension or romanticization of their struggles.",False,
5415,The text simply mentions the illegal immigrant phenomenon in Sabah and a call for resolution. There is no language that exhibits patronizing or condescending behavior towards the community.,False,
5416,"The text uses stern language and warnings, creating an unbalanced power relation by positioning the authorities as superior and the immigrants as inferior and potentially criminalized. It also presupposes that anyone aiding immigrants is guilty of a crime. The language is harsh and authoritative.",True,"['Unbalanced power relations', 'Presupposition']"
5417,"The text focuses on the political landscape and coalition formation following an election. It mentions the anti-immigrant stance of one of the parties but does not express any unbalanced power relations, propose shallow solutions, make unsupported assumptions, act as an authority voice, use metaphors to obscure meaning, elicit pity, or romanticize poverty. Therefore, it does not contain PCL.",False,
5418,"The text uses the term 'hopeless' to describe the stakes of minority parties. This generalization about the situation and the parties involved can be considered a form of presupposition, assuming a lack of potential or agency without providing specific evidence. The term 'hopeless' can also be seen as a compassion because it elicits pity about the situation.",True,"['Presupposition', 'Compassion']"
5419,"The text is a news report describing the halt of Algeria's expulsion of migrants into the Sahara Desert after widespread condemnation. It provides factual information about the situation, citing sources like the UN's International Organization for Migration and The Associated Press. There is no indication of patronizing or condescending language in the text. It doesn't romanticize poverty, offer shallow solutions, or speak on behalf of the migrants.",False,
5420,"The text contains a generalization and possible stereotype about women with shopping bags, suggesting a mild form of presupposition. The author also seems to distance themselves from this group, hinting at an unbalanced power dynamic.",True,"['Presupposition', 'Unbalanced power relations']"
5421,"The text discusses the economic vulnerability of emerging markets, particularly Indonesia, due to potential interest rate hikes by the Federal Reserve. While it highlights a potential negative impact (currency depreciation, capital outflows, increased borrowing costs), it does so in a neutral and factual tone, without exhibiting any patronizing or condescending language. The analysis is objective and avoids any form of romanticizing poverty, assuming authority, or employing metaphors to obscure the situation.",False,
5422,"The text presents a factual statement about an airline's financial situation and the need for recapitalization. It does not contain any elements of patronizing or condescending language. There is no imbalance of power, shallow solutions, presuppositions, authoritative voice, metaphors, compassion-eliciting language, or romanticization of poverty.",False,
5423,"The text presents factual information about public opinion on immigration policies. It does not contain any language that could be considered patronizing or condescending towards immigrants or any other community. It avoids making assumptions, generalizing experiences, or using stereotypes. Therefore, it does not exhibit any of the characteristics associated with PCL.",False,
5424,"The text describes a woman's athletic achievement in a triathlon. There's no indication of patronizing or condescending language, no unbalanced power dynamics, shallow solutions, presuppositions, authority voice, metaphors, compassion, or romanticization of poverty.",False,
5425,The text makes a presupposition that policy makers are not sincere in their intent to help people in the dry zone. It also presents an unbalanced power relation where the author suggests a reformulation of the entire project.,True,"['Unbalanced power relations', 'Presupposition']"
5426,"The text relays information without exhibiting patronizing or condescending language. It simply describes a scenario where a victim mentions seeing a promise of instant money on social media. There are no power imbalances expressed, no shallow solutions proposed, no generalizations or stereotypes presented, no one acting as a spokesperson, no metaphors employed, no elicitation of pity, and no romanticization of poverty.",False,
5427,"The text presents factual information about the deaf community in Tanzania and the challenges in accurately counting them due to social factors. It highlights the lack of public services and negative experiences faced by some. There is no explicit PCL present because the author avoids patronizing language, unbalanced power dynamics, shallow solutions, or romanticizing poverty. The language is neutral and informative.",False,
5428,"The text uses comparisons that could be considered insensitive (comparing settling down to Mswati being monogamous). While not directed at a vulnerable community, the comparison might be viewed as a presupposition about certain groups/individuals. The primary target is Eric Omondi, a public figure.",False,
5429,"The text contains a presupposition that Chinese people are preying on girls from poor families because of their financial needs. It also generalizes the experiences of these girls and uses stereotypes about their vulnerability. It assumes all poor families have daughters in need of money, and it is an unbalanced power relation as the author distances themselves from the described situation.",True,"['Presupposition', 'Unbalanced power relations']"
5430,The text does not contain PCL because it reports an accusation made by one political figure against another. It does not inherently display any of the listed characteristics of patronizing or condescending language.,False,
5431,"The text presents a situation where a homeless man is rescued and taken to a shelter. While the action is positive, the description of the man as 'weak and disoriented' and the mention of 'minor wounds' elicit pity, fitting the 'Compassion' category. Additionally, the pastor acts as a spokesperson and offers a medical opinion on the man, which falls under the 'Authority voice' category. The power dynamic is also unbalanced.",True,"['Compassion', 'Authority voice', 'Unbalanced power relations']"
5432,"The text provides factual information about Afghan refugees in Pakistan, specifically regarding the timeline and numbers associated with their displacement following the Soviet Union's invasion of Afghanistan. It does not exhibit any elements of patronizing or condescending language as it avoids making assumptions, romanticizing poverty, using metaphors to obscure meaning, or positioning the author in a power dynamic relative to the refugee community. The content is informative and neutral.",False,
5433,The text describes a situation (influx of refugees) and a reaction to it (Italian government's call for help). There's no apparent patronizing or condescending language used. It's a factual statement about a political issue.,False,
5434,The text presents a direct quote from a refugee expressing their experience. It does not contain any patronizing or condescending language. The statement simply conveys the refugee's perception of their situation becoming more difficult.,False,
5435,"The text uses overly complex language and abstract concepts ('cynicism', 'nihilistic hopelessness', 'restlessness', 'destructive premonitions') to describe the community's state. It also employs loaded terms like 'fermented' and 'headless' to depict the 'body politic,' which can be seen as condescending. The rhetorical question implies a critical and superior perspective towards the community's situation and its governing structures, suggesting that the author views the community as lacking direction and awareness.",True,"['Presupposition', 'Metaphor']"
5436,The text is a simple description of an image and does not contain any language that could be considered patronizing or condescending. It simply identifies the subject of the photograph as Bangladeshi migrant workers and credits the source of the image.,False,
5437,"The text describes a protected area and regulations related to scallop dredging. It does not contain any patronizing or condescending language. There are no elements of unbalanced power relations, shallow solutions, presuppositions, authority voice, metaphors, compassion elicitation, or romanticization of poverty.",False,
5438,"The text is a neutral statement about Idea Services. It provides factual information about the organization's role and target demographic without exhibiting any patronizing or condescending language. There are no instances of unbalanced power dynamics, shallow solutions, unsupported assumptions, assuming authority, metaphors, emotional appeals, or romanticization of poverty.",False,
5439,The text suggests that charitable initiatives are being undertaken to make the children responsible and caring men and women in society. This implies a 'Shallow solution' where a charitable action is presented as a way to change lives or resolve deep-rooted issues. The text also contains 'Unbalanced power relations' because 'He' claims to speak on behalf of a group ('the school') and their hopes for the children. It also has 'Authority voice' where someone acts as a spokesperson for the community (children).,True,"['Shallow solution', 'Unbalanced power relations', 'Authority voice']"
5440,"The text discusses the limitations of a hypothetical fund in addressing the risks faced by developing countries. While it mentions 'developing countries in need,' the statement focuses on the practical challenges of resource allocation and risk reduction, rather than adopting a patronizing or condescending tone. It does not make assumptions or generalizations about these countries beyond their need for resources, nor does it romanticize poverty or present shallow solutions. The language is factual and analytical, avoiding any of the markers of PCL.",False,
5441,The text simply states that a professor received an award for promoting employment for disabled people. It is a factual statement without any language that could be considered patronizing or condescending.,False,
5442,"The text describes global issues and the UN's response to them. It references discrimination, intolerance, and the refugee crisis, but it doesn't use patronizing language. It does not exhibit any of the characteristics of PCL. The statement is informational and does not imply any imbalance of power, shallow solutions, presuppositions, authority voice, metaphors, compassion, or romanticization of poverty.",False,
5443,"The text presents statistical data regarding crimes against women in Delhi. While the information is alarming and highlights a serious issue, it does not employ patronizing or condescending language. It avoids making assumptions, offering shallow solutions, or romanticizing the situation. Therefore, it does not fall under any of the PCL categories.",False,
5444,"The text describes a historical event without expressing any patronizing or condescending attitudes. It simply recounts the circumstances of a man being assigned a job due to his disability during wartime. There are no power imbalances implied, nor are there any shallow solutions, presuppositions, or attempts to romanticize poverty.",False,
5445,The text simply reports on an event supporting the immigrant community. It does not display any characteristics of patronizing or condescending language. It's a straightforward factual statement.,False,
5446,The text describes a person's experience with homelessness due to historical and personal circumstances. There is no indication of patronizing or condescending language. The narrative is factual and does not exhibit any of the defined PCL categories.,False,
5447,"The text describes tensions between youths and security forces in 'deprived urban areas' with 'large immigrant communities.' This could fall under 'presupposition' if it assumes all immigrant communities are in 'deprived urban areas' or that tensions are inherent. However, without more context, it's difficult to definitively say this is PCL. The statement can be seen as a neutral observation about a specific situation where tensions exist between certain groups.",False,
5448,"The text ""Focus on the homeless"" is too short to determine whether it contains patronizing or condescending language. Without more context, it's impossible to identify any unbalanced power relations, shallow solutions, presuppositions, authority voice, metaphors, compassion-eliciting descriptions, or romanticization of poverty.",False,
5449,The provided text is a neutral news headline about an event affecting a refugee center. There is no language suggesting patronization or condescension. It simply reports a fact.,False,
5450,"The text uses overly dramatic and broad language ('killer heat waves') to describe the impact of climate change, potentially eliciting pity and portraying humanity as helpless. The comparison of weather to 'man' in terms of unpredictability is a metaphor that softens the reality of climate change's impact on vulnerable communities.",True,"['Metaphor', 'Compassion']"
5451,"The text presents itself as an objective statement from UNHCR, describing a project to understand the refugee population. It frames this understanding as crucial for encouraging EU states to resettle Syrian refugees. While the topic is sensitive and involves vulnerable populations, the language itself doesn't exhibit patronizing or condescending elements. It focuses on the need for data and responsibility-sharing, rather than making assumptions, romanticizing poverty, or speaking on behalf of refugees.",False,
5452,The text exhibits an 'Authority voice' by suggesting they know what is best for the Afghan community in Montreal and how they should react. It also shows 'Presupposition' by generalizing the community's reaction and assuming they all need the same type of information.,True,"['Authority voice', 'Presupposition']"
5453,"The text provides factual information about refugees registering for repatriation. It does not contain any language that could be considered patronizing or condescending. There is no imbalance of power, shallow solutions, presuppositions, authority voice, metaphors, eliciting pity, or romanticizing poverty.",False,
5454,"The text does not display any patronizing or condescending language. It simply states the hopes of two individuals regarding the application of project findings to family reunification following homelessness. There are no instances of unbalanced power dynamics, shallow solutions, presuppositions, an authoritative voice, metaphors, compassion, or romanticization of poverty.",False,
5455,"The text speaks of 'freeing' tertiary institutions from 'vulnerable dependence' on the national grid through 'off-grid captive Power Plants'. This implies an unbalanced power dynamic where the speaker or their organization is positioned as the benefactor granting freedom from vulnerability. It also presents a technical solution (power plants) as a means to resolve a deeper, systemic issue (dependence on the national grid), potentially overlooking other factors contributing to the vulnerability. Therefore, the statement contains PCL.",True,"['Unbalanced power relations', 'Shallow solution']"
5456,The text describes a pole dancing studio that helps women build confidence and express sensuality. This statement doesn't contain any elements that patronize or condescend towards women. It simply describes a service offered.,False,
5457,"The text uses an authority voice by acting as a spokesperson for the US, welcoming people and highlighting the number of Nigerian students in the US. It presupposes that all Nigerians seeking visas are legitimate travelers without acknowledging the reported abuses.",True,"['Authority voice', 'Presupposition']"
5458,"The text presents factual information about refugees and relocation efforts without displaying any patronizing or condescending language. It does not make assumptions, romanticize poverty, or use metaphors to obscure the situation. There are no expressions of unbalanced power, shallow solutions, or authority voice.",False,
5459,The text expresses frustration and hopelessness regarding the nation's leadership and their impact on the younger generation. It criticizes the elected officials for sending the wrong message and calls for change to move forward. The text itself doesn't present any element of PCL.,False,
